,Inverse Document Frequency
anläggningarna,-0.15415067982725836
anländ,-0.15415067982725836
anlända,-0.15415067982725836
anlände,-0.15415067982725836
anlänt,-0.15415067982725836
anmodad,-0.15415067982725836
anmodan,-0.15415067982725836
anmäia,-0.15415067982725836
anmäla,-0.15415067982725836
anmälde,-0.15415067982725836
anmält,-0.15415067982725836
anmärka,-0.15415067982725836
anmärkning,-0.15415067982725836
anmärkningar,-0.15415067982725836
anmärkningen,-0.15415067982725836
anmärkningsvärda,-0.15415067982725836
anmärkningsvärt,-0.15415067982725836
anmärkte,-0.15415067982725836
ann,-0.15415067982725836
anna,-0.15415067982725836
annalkande,-0.15415067982725836
annan,-0.15415067982725836
annandag,-0.15415067982725836
annans,-0.15415067982725836
annanstans,-0.15415067982725836
annarna,-0.15415067982725836
annars,-0.15415067982725836
annas,-0.15415067982725836
annat,-0.15415067982725836
anne,-0.15415067982725836
annie,-0.15415067982725836
annor,-0.15415067982725836
annorlunda,-0.15415067982725836
annorstädes,-0.15415067982725836
annorstäds,-0.15415067982725836
anordna,-0.15415067982725836
anordnade,-0.15415067982725836
anordnades,-0.15415067982725836
anordnar,-0.15415067982725836
anordnat,-0.15415067982725836
anordning,-0.15415067982725836
anordningarna,-0.15415067982725836
anpassa,-0.15415067982725836
anpassad,-0.15415067982725836
anpassat,-0.15415067982725836
anropa,-0.15415067982725836
anropad,-0.15415067982725836
anropade,-0.15415067982725836
anrättningen,-0.15415067982725836
ansa,-0.15415067982725836
ansad,-0.15415067982725836
ansade,-0.15415067982725836
ansat,-0.15415067982725836
ansatt,-0.15415067982725836
anse,-0.15415067982725836
ansedd,-0.15415067982725836
ansedda,-0.15415067982725836
anseende,-0.15415067982725836
ansenlig,-0.15415067982725836
ansenliga,-0.15415067982725836
ansenligaste,-0.15415067982725836
ansenligt,-0.15415067982725836
anser,-0.15415067982725836
anses,-0.15415067982725836
ansett,-0.15415067982725836
ansetts,-0.15415067982725836
ansigte,-0.15415067982725836
ansikte,-0.15415067982725836
ansikten,-0.15415067982725836
ansiktena,-0.15415067982725836
ansiktes,-0.15415067982725836
ansiktet,-0.15415067982725836
ansiktsfärg,-0.15415067982725836
ansiktshyn,-0.15415067982725836
ansiktsuttryck,-0.15415067982725836
ansiktsuttrycket,-0.15415067982725836
ansjovis,-0.15415067982725836
anskri,-0.15415067982725836
anskrämliga,-0.15415067982725836
anskrämligt,-0.15415067982725836
anslag,-0.15415067982725836
anspelade,-0.15415067982725836
anspelningar,-0.15415067982725836
anspråk,-0.15415067982725836
anspråkslöst,-0.15415067982725836
anstifta,-0.15415067982725836
anstod,-0.15415067982725836
anstränga,-0.15415067982725836
ansträngande,-0.15415067982725836
ansträngd,-0.15415067982725836
ansträngda,-0.15415067982725836
ansträngde,-0.15415067982725836
anstränger,-0.15415067982725836
ansträngning,-0.15415067982725836
ansträngt,-0.15415067982725836
anställa,-0.15415067982725836
anställde,-0.15415067982725836
anställt,-0.15415067982725836
anständiga,-0.15415067982725836
anständigt,-0.15415067982725836
anständigtvis,-0.15415067982725836
anstå,-0.15415067982725836
anstånd,-0.15415067982725836
anstår,-0.15415067982725836
anstått,-0.15415067982725836
anstöt,-0.15415067982725836
anstötligt,-0.15415067982725836
ansvar,-0.15415067982725836
ansvara,-0.15415067982725836
ansvarar,-0.15415067982725836
ansvaret,-0.15415067982725836
ansvarsfullt,-0.15415067982725836
ansåg,-0.15415067982725836
ansågo,-0.15415067982725836
ansågos,-0.15415067982725836
ansågs,-0.15415067982725836
ansökan,-0.15415067982725836
anta,-0.15415067982725836
antag,-0.15415067982725836
antagen,-0.15415067982725836
antagit,-0.15415067982725836
antagna,-0.15415067982725836
antal,-0.15415067982725836
antar,-0.15415067982725836
antastades,-0.15415067982725836
anteckna,-0.15415067982725836
antecknade,-0.15415067982725836
antecknas,-0.15415067982725836
antecknat,-0.15415067982725836
anteckning,-0.15415067982725836
anteckningar,-0.15415067982725836
antikrister,-0.15415067982725836
antikviteter,-0.15415067982725836
antingen,-0.15415067982725836
antligen,-0.15415067982725836
antog,-0.15415067982725836
antoge,-0.15415067982725836
antogo,-0.15415067982725836
antogs,-0.15415067982725836
antonios,-0.15415067982725836
antonsson,-0.15415067982725836
anträda,-0.15415067982725836
anträdde,-0.15415067982725836
anträder,-0.15415067982725836
anträtt,-0.15415067982725836
antwerpen,-0.15415067982725836
antydan,-0.15415067982725836
antydde,-0.15415067982725836
antydningar,-0.15415067982725836
antända,-0.15415067982725836
antände,-0.15415067982725836
antändes,-0.15415067982725836
antänts,-0.15415067982725836
antågande,-0.15415067982725836
anvisa,-0.15415067982725836
anvisad,-0.15415067982725836
anvisade,-0.15415067982725836
anvisat,-0.15415067982725836
använda,-0.15415067982725836
användas,-0.15415067982725836
användbart,-0.15415067982725836
använde,-0.15415067982725836
använder,-0.15415067982725836
användes,-0.15415067982725836
användning,-0.15415067982725836
använt,-0.15415067982725836
använts,-0.15415067982725836
aparmar,-0.15415067982725836
apelkastad,-0.15415067982725836
apelkastade,-0.15415067982725836
apeln,-0.15415067982725836
apelsin,-0.15415067982725836
apelsiner,-0.15415067982725836
apelsinträdgårdar,-0.15415067982725836
apertin,-0.15415067982725836
apkroppen,-0.15415067982725836
apor,-0.15415067982725836
aposteln,-0.15415067982725836
apostlar,-0.15415067982725836
apostlarna,-0.15415067982725836
